DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	Salinity	Temperature	Pressure	Oxygen	CAST TYPE	CAST NO	NISKIN	DNA VOLUME FILT [mL]	comments	DNA.concentration.ng.uL	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)
I8S-S60-N01	I8S	60	B	20070305T00:00	95.0097	-42.512	34.3543	5.4246	983.1	212.2	TRACE METAL	1	1	2200		2.75256042194043	0.03309122
I8S-S60-N03	I8S	60	B	20070305T00:00	95.0097	-42.512	34.7731	10.0268	492.2	250.7	TRACE METAL	1	3	2200		4.97075803627721	0.02059366
I8S-S60-N05	I8S	60	B	20070305T00:00	95.0097	-42.512	34.7796	10.479	242.2	255.5	TRACE METAL	1	5	2200		7.31466460087175	0.03843171
I8S-S60-N08	I8S	60	B	20070305T00:00	95.0097	-42.512	34.8434	11.253	107.4	258.1	TRACE METAL	1	8	2200		12.660953183792	0.0438441
I8S-S60-N11	I8S	60	B	20070305T00:00	95.0097	-42.512	34.751	13.3872	42.3	264.3	TRACE METAL	1	11	1300		36.03816204469	0.06222119
I8S-S60-N12	I8S	60	B	20070305T00:00	95.0097	-42.512	34.7509	13.4121	20.5	264.1	TRACE METAL	1	12	1200		37.4801567756891	0.06212067
