DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	Salinity	Temperature	Pressure	Oxygen	CAST TYPE	CAST NO	NISKIN	DNA VOLUME FILT [mL]	comments	DNA.concentration.ng.uL	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)
I8S-S38-N01	I8S	38	B	20070227T00:00	88.3034	-52.251	34.6396	2.4064	949.1	177.9	TRACE METAL	2	1	2200		5.0525686229529	0.02211629
I8S-S38-N03	I8S	38	B	20070227T00:00	88.3034	-52.251	34.3259	2.4386	424.2	207.5	TRACE METAL	2	3	2200		8.45269642040106	0.046174
I8S-S38-N05	I8S	38	B	20070227T00:00	88.3034	-52.251	33.9399	0.8355	224.2	328.9	TRACE METAL	2	5	2200		18.9098187270286	0.06714367
I8S-S38-N08	I8S	38	B	20070227T00:00	88.3034	-52.251	33.755	2.058	121.4	335	TRACE METAL	2	8	2200		19.2457077211036	0.06963844
I8S-S38-N11	I8S	38	B	20070227T00:00	88.3034	-52.251	33.7779	3.2921	41	320.5	TRACE METAL	2	11	2200		35.3730353237494	0.06783864
I8S-S38-N12	I8S	38	B	20070227T00:00	88.3034	-52.251	33.7801	3.3975	21.8	319.2	TRACE METAL	2	12	ND	did not collect, 100m mixed lyr	0.00292655757213847	0.0546448
