DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	Salinity	Temperature	Pressure	Oxygen	CAST TYPE	CAST NO	NISKIN	DNA VOLUME FILT [mL]	comments	DNA.concentration.ng.uL	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)
I8S-S45-N23	I8S	45	B	20070301T00:00	91.2197	-49.282	34.2956	4.7271	491.3	222.9	R	1	23	2200		4.10409791889165	0.01576199
I8S-S45-N25	I8S	45	B	20070301T00:00	91.2197	-49.282	34.2631	5.0118	390.6	233.1	R	1	25	2200		6.19525632952879	0.02313098
I8S-S45-N29	I8S	45	B	20070301T00:00	91.2197	-49.282	33.9192	4.5479	191.2	287.4	R	1	29	2200		7.15503418784602	0.01834605
I8S-S45-N32	I8S	45	B	20070301T00:00	91.2197	-49.282	33.7569	6.6262	92.4	299.1	R	1	32	1800		24.3858070205323	0.0252359
I8S-S45-N33	I8S	45	B	20070301T00:00	91.2197	-49.282	33.7784	6.9762	47.4	297.2	R	1	33	1800		35.1495527455134	0.02992121
I8S-S45-N35	I8S	45	B	20070301T00:00	91.2197	-49.282	33.7789	6.9861	6	295.5	R	1	35	1800		35.2486566269336	0.02574385
